Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Garlic Green,2021-01-13,Kg,120,130,125,10,5,13
Coriander Green,2021-01-13,Kg,100,120,110,20,10,13
Garlic Dry Chinese,2021-01-13,Kg,190,200,195,10,5,13
Fish Fresh(Rahu),2021-01-13,KG,280,290,285,10,5,13
Fish Fresh(Bachuwa),2021-01-13,KG,200,210,205,10,5,13
Fish Fresh(Chhadi),2021-01-13,KG,200,210,205,10,5,13
Fish Fresh(Mungari),2021-01-13,KG,260,270,265,10,5,13
Tomato Big(Nepali),2021-01-14,Kg,40,45,42,5,2,14
Tomato Big(Indian),2021-01-14,Kg,40,45,42,5,2,14
Tomato Small(Local),2021-01-14,Kg,15,20,17,5,2,14
Tomato Small(Tunnel),2021-01-14,Kg,15,22,18,7,3,14
Tomato Small(Indian),2021-01-14,KG,15,20,17,5,2,14
Tomato Small(Terai),2021-01-14,KG,20,25,22,5,2,14
Potato Red,2021-01-14,Kg,30,35,32,5,2,14
Potato Red(Indian),2021-01-14,KG,28,32,30,4,2,14
Potato White,2021-01-14,Kg,22,25,23,3,1,14
Onion Dry (Indian),2021-01-14,Kg,68,72,70,4,2,14
Carrot(Local),2021-01-14,Kg,70,80,75,10,5,14
Carrot(Terai),2021-01-14,Kg,50,60,55,10,5,14
Cabbage(Local),2021-01-14,Kg,25,30,27,5,2,14
Cabbage(Terai),2021-01-14,Kg,20,25,22,5,2,14
Cabbage,2021-01-14,Kg,30,35,32,5,2,14
Cauli Local,2021-01-14,Kg,20,30,25,10,5,14
Cauli Local(Jyapu),2021-01-14,Kg,25,35,30,10,5,14
Cauli Terai,2021-01-14,Kg,15,20,17,5,2,14
Raddish Red,2021-01-14,Kg,30,40,35,10,5,14
Raddish White(Local),2021-01-14,Kg,10,15,12,5,2,14
Raddish White(Hybrid),2021-01-14,Kg,15,20,17,5,2,14
Brinjal Long,2021-01-14,Kg,30,40,35,10,5,14
Brinjal Round,2021-01-14,Kg,30,40,35,10,5,14
Green Peas,2021-01-14,Kg,35,45,40,10,5,14
French Bean(Local),2021-01-14,Kg,40,50,45,10,5,14
Sword Bean,2021-01-14,Kg,30,40,35,10,5,14
Bitter Gourd,2021-01-14,Kg,100,110,105,10,5,14
Bottle Gourd,2021-01-14,Kg,40,50,45,10,5,14
Pointed Gourd(Terai),2021-01-14,Kg,170,180,175,10,5,14
Pumpkin,2021-01-14,Kg,25,30,27,5,2,14
Squash(Long),2021-01-14,Kg,20,25,22,5,2,14
Squash(Round),2021-01-14,Kg,30,40,35,10,5,14
Turnip,2021-01-14,Kg,70,80,75,10,5,14
Okara,2021-01-14,Kg,90,100,95,10,5,14
Sweet Potato,2021-01-14,Kg,50,60,55,10,5,14
Barela,2021-01-14,Kg,40,50,45,10,5,14
Arum,2021-01-14,Kg,50,60,55,10,5,14
Brd Leaf Mustard,2021-01-14,Kg,30,40,35,10,5,14
Spinach Leaf,2021-01-14,Kg,50,60,55,10,5,14
Cress Leaf,2021-01-14,Kg,50,60,55,10,5,14
Mustard Leaf,2021-01-14,Kg,50,60,55,10,5,14
Fenugreek Leaf,2021-01-14,Kg,60,70,65,10,5,14
Onion Green,2021-01-14,Kg,40,50,45,10,5,14
Bakula,2021-01-14,Kg,110,120,115,10,5,14
Yam,2021-01-14,Kg,80,90,85,10,5,14
Mushroom(Kanya),2021-01-14,Kg,90,100,95,10,5,14
Mushroom(Button),2021-01-14,KG,280,300,290,20,10,14
Brocauli,2021-01-14,Kg,30,40,35,10,5,14
Sugarbeet,2021-01-14,Kg,60,70,65,10,5,14
Red Cabbbage,2021-01-14,Kg,150,200,175,50,25,14
Lettuce,2021-01-14,Kg,50,60,55,10,5,14
Knolkhol,2021-01-14,Kg,40,50,45,10,5,14
Celery,2021-01-14,Kg,220,250,235,30,15,14
Parseley,2021-01-14,Kg,380,400,390,20,10,14
Fennel Leaf,2021-01-14,Kg,70,80,75,10,5,14
Mint,2021-01-14,Kg,220,250,235,30,15,14
Turnip A,2021-01-14,Kg,70,80,75,10,5,14
Tamarind,2021-01-14,Kg,140,150,145,10,5,14
Bamboo Shoot,2021-01-14,Kg,80,90,85,10,5,14
Tofu,2021-01-14,Kg,70,80,75,10,5,14
Gundruk,2021-01-14,Kg,220,250,235,30,15,14
Apple(Jholey),2021-01-14,Kg,180,200,190,20,10,14
Apple(Fuji),2021-01-14,KG,280,300,290,20,10,14
Banana,2021-01-14,Doz,90,100,95,10,5,14
Lime,2021-01-14,Kg,100,120,110,20,10,14
Pomegranate,2021-01-14,Kg,250,300,275,50,25,14
Grapes(Green),2021-01-14,Kg,200,220,210,20,10,14
Grapes(Black),2021-01-14,Kg,300,320,310,20,10,14
Orange(Nepali),2021-01-14,Kg,100,110,105,10,5,14
